trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
383,False,"{'a': 0.01, 'e': 0.021295092499631088}",25,14,7.867557091606406,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
384,False,"{'a': 0.01, 'e': 0.02108214157463478}",20,0,22.382855889004972,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
385,False,"{'a': 0.01, 'e': 0.02087132015888843}",30,10,32.10848698656975,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.01, 'e': 0.020662606957299545}",20,15,9.771301213140761,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.01, 'e': 0.02045598088772655}",35,15,29.752754961193446,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.01, 'e': 0.020251421078849283}",20,5,20.534450145813075,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.01, 'e': 0.02004890686806079}",20,13,13.56492198935355,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.01, 'e': 0.019848417799380184}",20,8,6.851668611166074,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
391,False,"{'a': 0.01, 'e': 0.01964993362138638}",25,11,22.442568260320858,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.01, 'e': 0.019453434285172516}",30,0,29.8044759789264,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
393,False,"{'a': 0.01, 'e': 0.01925889994232079}",20,10,13.993740346635969,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.01, 'e': 0.019066310942897586}",20,0,29.049739021538038,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
395,False,"{'a': 0.01, 'e': 0.01887564783346861}",20,13,10.946935320759762,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.01, 'e': 0.018686891355133923}",20,16,6.647175826220699,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.01, 'e': 0.01850002244158258}",20,12,15.287359581763468,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.01, 'e': 0.018315022217166757}",25,17,12.959263968445491,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.01, 'e': 0.018131871994995087}",20,0,30.592181944111168,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
400,False,"{'a': 0.01, 'e': 0.017950553275045137}",20,0,10.875326078330277,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
401,False,"{'a': 0.01, 'e': 0.017771047742294686}",20,13,12.01354560509628,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.01, 'e': 0.01759333726487174}",30,0,41.60935333737961,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
403,False,"{'a': 0.01, 'e': 0.017417403892223023}",20,3,28.031159453912263,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.01, 'e': 0.01724322985330079}",25,6,21.26651432267657,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.01, 'e': 0.017070797554767782}",20,0,-7.978819643399309,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
406,False,"{'a': 0.01, 'e': 0.016900089579220106}",25,0,34.403323778192636,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
407,False,"{'a': 0.01, 'e': 0.016731088683427903}",20,8,25.34510091864417,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.01, 'e': 0.016563777796593626}",20,8,17.447987127543612,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.01, 'e': 0.016398140018627688}",25,0,36.15074550425226,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.01, 'e': 0.01623415861844141}",30,0,41.277784991222205,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
411,False,"{'a': 0.01, 'e': 0.016071817032256998}",20,0,28.273464696053836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
412,False,"{'a': 0.01, 'e': 0.015911098861934425}",25,7,26.66594806943804,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.01, 'e': 0.015751987873315082}",20,0,28.62183551477463,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
414,False,"{'a': 0.01, 'e': 0.015594467994581931}",20,8,20.17664307975741,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.01, 'e': 0.015438523314636111}",20,0,32.725878631678846,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.01, 'e': 0.01528413808148975}",20,0,28.24230436170825,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
417,False,"{'a': 0.01, 'e': 0.015131296700674854}",30,0,28.89618636746844,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
418,False,"{'a': 0.01, 'e': 0.014979983733668104}",20,9,16.03472147895767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.01, 'e': 0.014830183896331423}",20,2,29.105836696644317,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.01, 'e': 0.014681882057368109}",20,0,25.845799782613824,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
421,False,"{'a': 0.01, 'e': 0.014535063236794427}",20,3,27.56250642033455,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.01, 'e': 0.014389712604426484}",30,0,-5.916784020571068,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
423,False,"{'a': 0.01, 'e': 0.014245815478382218}",25,17,14.592767829686082,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.01, 'e': 0.014103357323598397}",30,17,25.487371025107507,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.01, 'e': 0.013962323750362412}",25,0,35.38136784038775,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
426,False,"{'a': 0.01, 'e': 0.013822700512858787}",30,18,17.907223896459065,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
